Field in Early Morning Light,"11"" x 14"" mat",,Watercolor on paper,400,Field and Lakes,,,,,
"Spillway, Allaire State Park","14"" x 11""",2001,Pastels,400,Field and Lakes,,298,,,
Blueberry Irrigation Pond,"16"" x 20""",2003,Oil,800,Field and Lakes,,288,,,
Assunpink Fall Weeds,"16"" x 24""",2014,Acrylic,960,Field and Lakes,,,,,
Assunpink Stone Tavern Lake,"18"" X 24""",2009,Acrylic,1000,Field and Lakes,,,,,
Fall Entrance to Field,"20"" x 20""",2020,Acrylic,1000,Field and Lakes,,,,,
Fall Entrance to Field 2,"20"" x 20""",2020,Acrylic,1000,Field and Lakes,,,,,
"Fall, Into the Wood","20"" x 20""",2020,Acrylic,1000,Field and Lakes,,,,,
San Antonio Aqueduct,"24"" x 15.5""",2016,Acrylic,1000,Field and Lakes,,,,,
8/28/08 Evening,"4.5"" x 5.5""",2008,Watercolor,210,Field and Lakes,,,,,
Laurita Winery 3,"4.5"" x 5.5""",2009,Watercolor,210,Field and Lakes,,371,,,
PCS Fishing Camp Fall,"4.5"" x 6.5""",1996,Pastels,210,Field and Lakes,,112,,,
Etra Park Fall Walk 1,"4.5"" x 6""",1996,Pastels,210,Field and Lakes,,97,,,
Farm Field 1,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,45,,,
PCS Assunpink House,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,61,,,
PCS Assunpink Tree,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,55,,,
PCS Farm Field 2,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,47,,,
PCS Farm Field 3,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,46,,,
PCS Farm Field 4,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,48,,,
PCS Farm Field 5,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,49,,,
PCS Farm Field 8,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,52,,,
